2022-01-18 22:54:40,319 - INFO     - decorators - Called function "args_parser" from function "main"
2022-01-18 22:54:40,322 - INFO     - decorators - Function "args_parser" from module "__main__" with arguments (('7777', ''), {})
2022-01-18 22:54:40,359 - INFO     - server - Server ran with parameters - 127.0.0.1:7777
2022-01-18 22:54:59,340 - INFO     - server - Connection with client ('127.0.0.1', 57611) established.
2022-01-18 22:54:59,849 - INFO     - decorators - Called function "get_message" from function "run"
2022-01-18 22:54:59,849 - INFO     - decorators - Function "get_message" from module "common.utils" with arguments ((<socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57611)>,), {})
2022-01-18 22:54:59,864 - INFO     - decorators - Called function "send_message" from function "processing_message"
2022-01-18 22:54:59,864 - INFO     - decorators - Function "send_message" from module "common.utils" with arguments ((<socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57611)>, {'response': 200}), {})
2022-01-18 22:55:00,369 - INFO     - decorators - Called function "get_message" from function "run"
2022-01-18 22:55:00,370 - INFO     - decorators - Function "get_message" from module "common.utils" with arguments ((<socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57611)>,), {})
2022-01-18 22:55:00,372 - INFO     - decorators - Called function "send_message" from function "processing_message"
2022-01-18 22:55:00,372 - INFO     - decorators - Function "send_message" from module "common.utils" with arguments ((<socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57611)>, {'response': 202, 'data_list': ['user_3', 'user_4', 'user_1', 'user_2', 'user_!']}), {})
2022-01-18 22:55:00,877 - INFO     - decorators - Called function "get_message" from function "run"
2022-01-18 22:55:00,877 - INFO     - decorators - Function "get_message" from module "common.utils" with arguments ((<socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57611)>,), {})
2022-01-18 22:55:00,881 - INFO     - decorators - Called function "send_message" from function "processing_message"
2022-01-18 22:55:00,881 - INFO     - decorators - Function "send_message" from module "common.utils" with arguments ((<socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57611)>, {'response': 202, 'data_list': ['user_2']}), {})
2022-01-18 22:55:08,419 - INFO     - decorators - Called function "get_message" from function "run"
2022-01-18 22:55:08,419 - INFO     - decorators - Function "get_message" from module "common.utils" with arguments ((<socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57611)>,), {})
2022-01-18 22:55:08,419 - INFO     - server - Client ('127.0.0.1', 57611) disconnected from the server.
